run_id,status,error,duration_ms,spike_threshold,position_size,stop_loss_points,max_hold_ticks,total_pnl,total_return,final_equity,trade_count,win_rate,avg_trade_pnl,max_drawdown,sharpe,fill_attempts,fill_rejections,partial_fill_count,requested_contracts,filled_contracts
run-0001,ok,,154,2.000000,1,1.500000,50,-116.000000,-0.011600,9884.000000,55,0.109091,-2.109091,0.011600,-0.004550,510,400,0,510,110
run-0002,ok,,155,2.000000,1,1.500000,100,-116.000000,-0.011600,9884.000000,55,0.109091,-2.109091,0.011600,-0.004550,510,400,0,510,110
run-0003,ok,,142,2.000000,1,1.500000,150,-116.000000,-0.011600,9884.000000,55,0.109091,-2.109091,0.011600,-0.004550,510,400,0,510,110
run-0004,ok,,162,2.000000,1,3.000000,50,-253.800000,-0.025380,9746.200000,49,0.163265,-5.179592,0.030350,-0.004970,708,610,0,708,98
run-0005,ok,,97,2.000000,1,3.000000,100,-297.800000,-0.029780,9702.200000,49,0.163265,-6.077551,0.030720,-0.005649,589,491,0,589,98
run-0006,ok,,129,2.000000,1,3.000000,150,-290.600000,-0.029060,9709.400000,48,0.166667,-6.054167,0.030000,-0.005506,642,546,0,642,96
run-0007,ok,,129,2.000000,1,4.500000,50,-211.600000,-0.021160,9788.400000,48,0.187500,-4.408333,0.026130,-0.004069,725,629,0,725,96
run-0008,ok,,166,2.000000,1,4.500000,100,-258.600000,-0.025860,9741.400000,48,0.187500,-5.387500,0.026800,-0.004834,603,507,0,603,96
run-0009,ok,,93,2.000000,1,4.500000,150,-249.400000,-0.024940,9750.600000,47,0.191489,-5.306383,0.025880,-0.004654,605,511,0,605,94
run-0010,ok,,127,2.000000,2,1.500000,50,-194.600000,-0.019460,9805.400000,55,0.109091,-3.538182,0.019460,-0.006658,532,411,16,962,196
run-0011,ok,,153,2.000000,2,1.500000,100,-194.600000,-0.019460,9805.400000,55,0.109091,-3.538182,0.019460,-0.006658,532,411,16,962,196
run-0012,ok,,128,2.000000,2,1.500000,150,-194.600000,-0.019460,9805.400000,55,0.109091,-3.538182,0.019460,-0.006658,532,411,16,962,196
run-0013,ok,,92,2.000000,2,3.000000,50,-461.200000,-0.046120,9538.800000,48,0.187500,-9.608333,0.055160,-0.005287,859,741,13,1367,172
run-0014,ok,,128,2.000000,2,3.000000,100,-551.200000,-0.055120,9448.800000,48,0.187500,-11.483333,0.056100,-0.006036,751,633,13,1182,172
run-0015,ok,,92,2.000000,2,3.000000,150,-557.400000,-0.055740,9442.600000,46,0.195652,-12.117391,0.056720,-0.006107,753,640,12,1235,164
run-0016,ok,,145,2.000000,2,4.500000,50,-409.800000,-0.040980,9590.200000,47,0.212766,-8.719149,0.050020,-0.004637,860,742,13,1363,168
run-0017,ok,,126,2.000000,2,4.500000,100,-508.000000,-0.050800,9492.000000,45,0.222222,-11.288889,0.051780,-0.005513,739,627,13,1155,160
run-0018,ok,,93,2.000000,2,4.500000,150,-511.200000,-0.051120,9488.800000,43,0.232558,-11.888372,0.052100,-0.005549,662,555,12,1077,152
run-0019,ok,,127,2.000000,4,1.500000,50,-218.400000,-0.021840,9781.600000,54,0.148148,-4.044444,0.023870,-0.005435,554,426,34,1814,304
run-0020,ok,,126,2.000000,4,1.500000,100,-218.400000,-0.021840,9781.600000,54,0.148148,-4.044444,0.023870,-0.005435,554,426,34,1814,304
run-0021,ok,,129,2.000000,4,1.500000,150,-218.400000,-0.021840,9781.600000,54,0.148148,-4.044444,0.023870,-0.005435,554,426,34,1814,304
run-0022,ok,,90,2.000000,4,3.000000,50,-654.800000,-0.065480,9345.200000,46,0.173913,-14.234783,0.082660,-0.003995,978,844,33,2392,268
run-0023,ok,,127,2.000000,4,3.000000,100,-832.400000,-0.083240,9167.600000,45,0.177778,-18.497778,0.084300,-0.004832,850,720,31,2272,264
run-0024,ok,,91,2.000000,4,3.000000,150,-901.200000,-0.090120,9098.800000,43,0.162791,-20.958140,0.091180,-0.005274,783,661,27,2204,252
run-0025,ok,,95,2.000000,4,4.500000,50,-584.200000,-0.058420,9415.800000,45,0.200000,-12.982222,0.075600,-0.003488,982,848,30,2369,262
run-0026,ok,,127,2.000000,4,4.500000,100,-775.000000,-0.077500,9225.000000,43,0.209302,-18.023256,0.078560,-0.004443,859,733,28,2204,250
