timestamp,price,rolling_mean,rolling_std,spike_flag,confirmation_status,action_taken,position,cash,equity,realized_pnl,unrealized_pnl
1772031660,25.500000,25.500000,0.000000,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772031840,26.500000,26.000000,0.500000,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772031900,26.500000,26.166667,0.471405,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772032080,27.000000,26.375000,0.544862,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772032140,28.500000,26.800000,0.979796,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772032200,51.000000,30.833333,9.063051,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772032260,32.000000,31.000000,8.400680,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772032320,33.000000,31.250000,7.885905,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772032380,30.500000,31.166667,7.438638,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772032440,30.000000,31.050000,7.065586,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772032500,30.000000,30.954545,6.743531,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772032560,30.000000,30.875000,6.461827,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772032740,31.000000,30.884615,6.208412,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772032860,30.000000,30.821429,5.986912,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772032920,30.500000,30.800000,5.784462,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772033040,31.000000,30.812500,5.600990,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772033100,40.000000,31.352941,5.847988,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772033160,41.000000,31.888889,6.097713,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772033280,39.000000,32.263158,6.143821,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772033340,37.500000,32.525000,6.096054,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772033400,37.500000,32.761905,6.042743,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772033460,39.000000,33.045455,6.045113,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772033520,38.500000,33.282609,6.015968,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772033580,35.000000,33.354167,5.899292,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772033640,37.500000,33.520000,5.836917,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772033760,31.000000,33.423077,5.744048,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772034060,32.000000,33.370370,5.643076,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772034180,32.500000,33.339286,5.543744,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772034240,41.000000,33.603448,5.623809,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772034300,38.000000,33.750000,5.585323,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772034360,33.000000,33.725806,5.496096,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772034420,34.500000,33.750000,5.411215,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772034720,35.500000,33.803030,5.337034,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772034960,35.500000,33.852941,5.265774,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772035020,34.000000,33.857143,5.190061,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772035080,34.000000,33.861111,5.117523,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772035320,34.500000,33.878378,5.048957,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772035440,34.500000,33.894737,4.983074,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772035560,35.000000,33.923077,4.921875,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772035620,37.000000,34.000000,4.883646,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772035680,35.000000,34.024390,4.826188,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772035740,34.000000,34.023810,4.768388,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772036040,35.500000,34.058140,4.717865,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772036100,36.000000,34.102273,4.672915,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772036160,37.000000,34.166667,4.640402,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772036340,37.500000,34.239130,4.615356,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772036400,37.500000,34.308511,4.590176,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772036460,37.500000,34.375000,4.564925,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772036640,35.000000,34.387755,4.518968,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772036820,34.500000,34.390000,4.473578,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772036940,34.500000,34.570000,4.289534,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772037060,34.500000,34.730000,4.131840,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772037300,34.500000,34.890000,3.961427,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772037360,34.000000,35.030000,3.800539,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772037420,34.000000,35.140000,3.687872,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772037480,34.000000,34.800000,2.912044,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772037540,34.000000,34.840000,2.886936,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772037600,34.000000,34.860000,2.877568,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772037660,34.000000,34.930000,2.812490,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772037720,34.000000,35.010000,2.726701,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772037780,34.000000,35.090000,2.635697,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772037840,34.000000,35.170000,2.538917,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772037900,34.000000,35.230000,2.474288,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772037960,34.500000,35.320000,2.361694,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772038260,34.500000,35.400000,2.262742,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772038320,34.500000,35.470000,2.178095,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772038380,35.000000,35.370000,2.080409,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772038440,34.500000,35.240000,1.921562,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772038500,34.500000,35.150000,1.847295,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772038620,34.500000,35.090000,1.818488,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772038740,34.500000,35.030000,1.787205,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772038860,34.000000,34.930000,1.700029,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772039040,34.500000,34.850000,1.622498,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772039100,34.000000,34.830000,1.626684,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772039160,34.500000,34.770000,1.581803,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772039340,35.000000,34.850000,1.487447,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772039460,35.000000,34.910000,1.430699,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772039580,34.500000,34.950000,1.390144,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772039700,34.000000,34.810000,1.094943,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772039760,33.500000,34.720000,1.010742,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772040360,33.500000,34.730000,0.996042,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772040540,33.500000,34.710000,1.010396,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772040600,32.000000,34.640000,1.072567,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772040660,32.000000,34.570000,1.126987,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772040720,33.500000,34.560000,1.134196,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772040840,33.000000,34.540000,1.152562,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772041080,33.500000,34.520000,1.161723,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772041260,32.000000,34.470000,1.214125,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772041320,35.000000,34.470000,1.214125,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772041560,33.500000,34.400000,1.166190,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772041740,33.500000,34.370000,1.169658,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772041800,33.000000,34.350000,1.184272,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772041860,33.500000,34.310000,1.178516,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772041980,35.000000,34.290000,1.157972,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
