run_id,status,error,duration_ms,spike_threshold,position_size,stop_loss_points,max_hold_ticks,total_pnl,total_return,final_equity,trade_count,win_rate,avg_trade_pnl,max_drawdown,sharpe,fill_attempts,fill_rejections,partial_fill_count,requested_contracts,filled_contracts
run-0049,ok,,173,2.500000,4,3.000000,50,-462.400000,-0.046240,9537.600000,29,0.275862,-15.944828,0.046660,-0.004079,515,421,21,1407,194
run-0050,ok,,126,2.500000,4,3.000000,100,-627.600000,-0.062760,9372.400000,28,0.214286,-22.414286,0.063180,-0.005281,495,403,22,1342,186
run-0051,ok,,124,2.500000,4,3.000000,150,-627.600000,-0.062760,9372.400000,28,0.214286,-22.414286,0.063180,-0.005281,495,403,22,1342,186
run-0052,ok,,91,2.500000,4,4.500000,50,-607.400000,-0.060740,9392.600000,29,0.275862,-20.944828,0.061160,-0.005344,523,428,22,1399,194
run-0053,ok,,97,2.500000,4,4.500000,100,-777.000000,-0.077700,9223.000000,27,0.222222,-28.777778,0.078120,-0.006482,486,398,21,1294,180
run-0054,ok,,128,2.500000,4,4.500000,150,-778.000000,-0.077800,9222.000000,27,0.185185,-28.814815,0.078220,-0.006491,486,398,21,1294,180
run-0055,ok,,126,3.000000,1,1.500000,50,5.800000,0.000580,10005.800000,21,0.095238,0.276190,0.005798,0.000438,184,142,0,184,42
run-0056,ok,,125,3.000000,1,1.500000,100,5.800000,0.000580,10005.800000,21,0.095238,0.276190,0.005798,0.000438,184,142,0,184,42
run-0057,ok,,94,3.000000,1,1.500000,150,5.800000,0.000580,10005.800000,21,0.095238,0.276190,0.005798,0.000438,184,142,0,184,42
run-0058,ok,,126,3.000000,1,3.000000,50,-46.800000,-0.004680,9953.200000,19,0.105263,-2.463158,0.009682,-0.002294,229,191,0,229,38
run-0059,ok,,125,3.000000,1,3.000000,100,-46.800000,-0.004680,9953.200000,19,0.105263,-2.463158,0.009682,-0.002294,226,188,0,226,38
run-0060,ok,,126,3.000000,1,3.000000,150,-46.800000,-0.004680,9953.200000,19,0.105263,-2.463158,0.009682,-0.002294,226,188,0,226,38
run-0061,ok,,96,3.000000,1,4.500000,50,-103.800000,-0.010380,9896.200000,19,0.105263,-5.463158,0.010720,-0.004978,224,186,0,224,38
run-0062,ok,,128,3.000000,1,4.500000,100,-105.800000,-0.010580,9894.200000,19,0.105263,-5.568421,0.010920,-0.005074,217,179,0,217,38
run-0063,ok,,128,3.000000,1,4.500000,150,-105.800000,-0.010580,9894.200000,19,0.105263,-5.568421,0.010920,-0.005074,217,179,0,217,38
run-0064,ok,,102,3.000000,2,1.500000,50,15.000000,0.001500,10015.000000,20,0.100000,0.750000,0.011556,0.000617,206,160,0,361,80
run-0065,ok,,135,3.000000,2,1.500000,100,15.000000,0.001500,10015.000000,20,0.100000,0.750000,0.011556,0.000617,206,160,0,361,80
run-0066,ok,,118,3.000000,2,1.500000,150,15.000000,0.001500,10015.000000,20,0.100000,0.750000,0.011556,0.000617,206,160,0,361,80
run-0067,ok,,129,3.000000,2,3.000000,50,-97.200000,-0.009720,9902.800000,18,0.111111,-5.400000,0.018708,-0.002091,290,242,2,460,72
run-0068,ok,,130,3.000000,2,3.000000,100,-104.200000,-0.010420,9895.800000,18,0.111111,-5.788889,0.018721,-0.002252,263,215,1,425,72
