timestamp,price,bid,ask,volume
1767279660,12.500000,2.000000,23.000000,0.000000
1767279720,16.500000,10.000000,23.000000,0.000000
1767279840,16.500000,10.000000,23.000000,0.000000
1767279900,16.500000,10.000000,23.000000,0.000000
1767280740,16.500000,10.000000,23.000000,0.000000
1767280800,16.500000,11.000000,22.000000,0.000000
1767281040,16.500000,11.000000,22.000000,0.000000
1767281100,16.500000,10.000000,23.000000,0.000000
1767281520,16.500000,11.000000,22.000000,0.000000
1767281580,22.000000,10.000000,23.000000,2.000000
1767281640,16.500000,11.000000,22.000000,0.000000
1767281700,22.000000,11.000000,22.000000,2.000000
1767281760,16.500000,11.000000,22.000000,0.000000
1767281820,23.000000,10.000000,22.000000,2.000000
1767281880,16.500000,11.000000,22.000000,0.000000
1767281940,22.000000,11.000000,22.000000,2.000000
1767282060,16.500000,11.000000,22.000000,0.000000
1767282120,16.500000,12.000000,21.000000,0.000000
1767282180,16.500000,12.000000,21.000000,0.000000
1767282240,16.500000,12.000000,21.000000,0.000000
1767282300,16.000000,12.000000,20.000000,0.000000
1767282360,16.000000,12.000000,20.000000,0.000000
1767282420,16.500000,12.000000,21.000000,0.000000
1767282480,17.000000,13.000000,21.000000,0.000000
1767282600,20.000000,13.000000,20.000000,2.000000
1767282660,16.000000,13.000000,19.000000,0.000000
1767282720,16.500000,13.000000,20.000000,0.000000
1767282780,16.500000,13.000000,20.000000,0.000000
1767282840,15.000000,11.000000,19.000000,0.000000
1767283020,17.000000,10.000000,24.000000,0.000000
1767283200,17.000000,10.000000,24.000000,0.000000
1767283260,17.000000,11.000000,23.000000,0.000000
1767283320,11.000000,10.000000,23.000000,5.000000
1767283380,16.000000,10.000000,22.000000,0.000000
1767283440,14.000000,10.000000,18.000000,0.000000
1767283500,13.000000,10.000000,16.000000,0.000000
1767283560,15.000000,10.000000,16.000000,2.000000
1767283620,13.500000,10.000000,17.000000,0.000000
1767283680,14.000000,10.000000,18.000000,0.000000
1767283740,15.500000,11.000000,20.000000,0.000000
1767283800,15.500000,11.000000,20.000000,0.000000
1767283860,15.500000,11.000000,20.000000,0.000000
1767283920,13.000000,10.000000,16.000000,0.000000
1767283980,13.000000,9.000000,12.000000,38.000000
1767284040,12.000000,9.000000,12.000000,5.000000
1767284100,10.500000,9.000000,12.000000,0.000000
1767284160,11.000000,10.000000,12.000000,0.000000
1767284220,10.000000,9.000000,11.000000,0.000000
1767284280,10.500000,9.000000,12.000000,0.000000
1767284340,9.000000,6.000000,11.000000,74.000000
1767284400,8.000000,5.000000,11.000000,0.000000
1767284460,6.500000,5.000000,8.000000,0.000000
1767284520,5.500000,3.000000,8.000000,0.000000
1767284580,5.500000,2.000000,9.000000,0.000000
1767284640,6.000000,4.000000,8.000000,0.000000
1767284700,6.500000,5.000000,8.000000,0.000000
1767284760,5.500000,2.000000,9.000000,0.000000
1767284820,6.000000,4.000000,8.000000,0.000000
1767284880,5.000000,3.000000,7.000000,0.000000
1767284940,6.500000,5.000000,8.000000,0.000000
1767285000,6.000000,4.000000,8.000000,0.000000
1767285060,6.500000,5.000000,8.000000,0.000000
1767285120,5.500000,2.000000,9.000000,0.000000
1767285180,5.500000,2.000000,9.000000,0.000000
1767285240,5.500000,3.000000,8.000000,0.000000
1767285300,6.500000,5.000000,8.000000,0.000000
1767285480,6.000000,4.000000,8.000000,0.000000
1767285540,6.500000,5.000000,8.000000,0.000000
1767285600,6.000000,4.000000,8.000000,0.000000
1767285660,6.000000,3.000000,9.000000,0.000000
1767285720,6.000000,4.000000,8.000000,0.000000
1767285840,5.500000,4.000000,7.000000,0.000000
1767285900,5.500000,4.000000,7.000000,0.000000
1767285960,5.000000,3.000000,7.000000,0.000000
1767286020,5.000000,3.000000,7.000000,0.000000
1767286080,5.500000,4.000000,7.000000,0.000000
1767286140,5.500000,3.000000,8.000000,0.000000
1767286200,6.500000,5.000000,8.000000,0.000000
1767286260,6.500000,5.000000,8.000000,0.000000
1767286320,6.500000,5.000000,8.000000,0.000000
1767286380,6.000000,4.000000,8.000000,0.000000
1767286440,5.500000,2.000000,9.000000,0.000000
1767286500,6.000000,4.000000,8.000000,0.000000
1767286560,6.000000,3.000000,9.000000,0.000000
1767286620,6.000000,4.000000,8.000000,0.000000
1767286680,6.000000,4.000000,8.000000,0.000000
1767286740,5.500000,4.000000,7.000000,0.000000
1767286860,4.000000,4.000000,7.000000,4.000000
1767286920,5.000000,3.000000,7.000000,0.000000
1767287040,4.000000,3.000000,5.000000,0.000000
1767287100,4.000000,3.000000,5.000000,0.000000
1767287160,5.000000,3.000000,6.000000,5.000000
1767287220,4.500000,3.000000,6.000000,0.000000
1767287280,5.500000,4.000000,7.000000,0.000000
1767287340,6.000000,4.000000,8.000000,0.000000
1767287400,6.000000,4.000000,8.000000,0.000000
1767287460,6.000000,4.000000,8.000000,0.000000
1767287520,5.500000,4.000000,7.000000,0.000000
1767287580,6.000000,4.000000,8.000000,0.000000
1767287640,6.500000,4.000000,9.000000,0.000000
1767287700,6.000000,3.000000,9.000000,0.000000
