timestamp,price,bid,ask,volume
1766415660,48.000000,1.000000,95.000000,0.000000
1766416020,48.000000,1.000000,95.000000,0.000000
1766416080,48.500000,2.000000,95.000000,0.000000
1766416200,48.000000,2.000000,94.000000,0.000000
1766416440,48.500000,2.000000,95.000000,0.000000
1766416620,8.000000,2.000000,17.000000,1.000000
1766416680,9.500000,3.000000,16.000000,0.000000
1766416740,9.500000,3.000000,16.000000,0.000000
1766416800,9.500000,3.000000,16.000000,0.000000
1766416860,8.500000,6.000000,11.000000,0.000000
1766416920,8.500000,5.000000,12.000000,0.000000
1766416980,8.500000,6.000000,11.000000,0.000000
1766417100,8.500000,6.000000,11.000000,0.000000
1766417160,8.500000,5.000000,12.000000,0.000000
1766417220,8.500000,6.000000,11.000000,0.000000
1766417280,8.500000,6.000000,11.000000,0.000000
1766417340,9.000000,6.000000,12.000000,0.000000
1766417400,8.500000,6.000000,11.000000,0.000000
1766417460,8.500000,6.000000,11.000000,0.000000
1766417520,8.500000,6.000000,11.000000,0.000000
1766417580,8.500000,6.000000,11.000000,0.000000
1766417640,8.500000,6.000000,11.000000,0.000000
1766417700,8.500000,6.000000,11.000000,0.000000
1766417760,8.500000,6.000000,11.000000,0.000000
1766417820,8.500000,6.000000,11.000000,0.000000
1766417880,8.500000,6.000000,11.000000,0.000000
1766417940,8.500000,6.000000,11.000000,0.000000
1766418000,8.500000,5.000000,12.000000,0.000000
1766418060,8.500000,6.000000,11.000000,0.000000
1766418120,8.500000,6.000000,11.000000,0.000000
1766418240,8.500000,6.000000,11.000000,0.000000
1766418300,8.500000,5.000000,12.000000,0.000000
1766418360,8.500000,6.000000,11.000000,0.000000
1766418420,9.000000,6.000000,12.000000,0.000000
1766418480,8.500000,6.000000,11.000000,0.000000
1766418540,8.500000,6.000000,11.000000,0.000000
1766418600,8.500000,5.000000,12.000000,0.000000
1766418660,8.500000,5.000000,12.000000,0.000000
1766418720,8.500000,6.000000,11.000000,0.000000
1766418780,9.000000,7.000000,11.000000,0.000000
1766418840,9.000000,7.000000,11.000000,0.000000
