timestamp,price,bid,ask,volume
1767798060,50.000000,5.000000,95.000000,0.000000
1767798120,28.000000,7.000000,49.000000,0.000000
1767798180,28.000000,10.000000,46.000000,0.000000
1767798240,28.000000,7.000000,49.000000,0.000000
1767798300,28.000000,9.000000,47.000000,0.000000
1767798360,28.000000,12.000000,44.000000,0.000000
1767798420,28.500000,16.000000,41.000000,0.000000
1767798480,27.000000,16.000000,38.000000,0.000000
1767798540,25.500000,16.000000,35.000000,0.000000
1767798600,24.500000,16.000000,33.000000,0.000000
1767798660,24.500000,9.000000,40.000000,0.000000
1767798720,19.000000,12.000000,26.000000,0.000000
1767798780,14.500000,6.000000,23.000000,0.000000
1767798840,23.500000,10.000000,37.000000,0.000000
1767798900,23.500000,13.000000,34.000000,0.000000
1767798960,18.500000,7.000000,30.000000,0.000000
1767799020,18.500000,11.000000,26.000000,0.000000
1767799080,18.500000,14.000000,23.000000,0.000000
1767799140,18.500000,9.000000,28.000000,0.000000
1767799200,18.500000,12.000000,25.000000,0.000000
1767799260,15.000000,8.000000,22.000000,0.000000
1767799320,19.500000,12.000000,27.000000,0.000000
1767799380,18.500000,13.000000,24.000000,0.000000
1767799440,17.000000,10.000000,24.000000,0.000000
1767799500,16.500000,8.000000,25.000000,0.000000
1767799560,20.500000,12.000000,29.000000,0.000000
1767799620,16.500000,8.000000,25.000000,0.000000
1767799680,17.500000,9.000000,26.000000,0.000000
1767799740,24.000000,30.000000,32.000000,43.000000
1767799800,31.500000,31.000000,32.000000,0.000000
1767799860,31.500000,31.000000,32.000000,0.000000
1767799920,31.500000,31.000000,32.000000,0.000000
1767799980,31.500000,31.000000,32.000000,0.000000
1767800040,32.000000,34.000000,40.000000,2.000000
1767800100,38.500000,35.000000,42.000000,0.000000
1767800160,39.000000,35.000000,43.000000,0.000000
1767800220,36.000000,33.000000,39.000000,0.000000
1767800280,34.500000,33.000000,36.000000,0.000000
1767800340,35.500000,33.000000,38.000000,0.000000
1767800400,35.500000,33.000000,38.000000,0.000000
1767800460,33.500000,33.000000,34.000000,0.000000
1767800520,34.000000,33.000000,35.000000,0.000000
1767800580,35.000000,33.000000,37.000000,0.000000
1767800640,35.000000,33.000000,37.000000,0.000000
1767800700,35.000000,33.000000,37.000000,0.000000
1767800760,37.000000,33.000000,37.000000,10.000000
1767800820,35.500000,33.000000,38.000000,0.000000
1767800880,35.000000,33.000000,37.000000,0.000000
1767800940,35.000000,33.000000,37.000000,0.000000
1767801000,36.000000,33.000000,39.000000,0.000000
1767801060,36.000000,34.000000,38.000000,0.000000
1767801120,34.000000,33.000000,35.000000,0.000000
1767801180,36.000000,33.000000,39.000000,0.000000
1767801240,36.000000,33.000000,39.000000,0.000000
1767801300,34.000000,33.000000,35.000000,0.000000
1767801360,35.000000,33.000000,37.000000,0.000000
1767801420,36.000000,34.000000,38.000000,0.000000
1767801480,34.000000,33.000000,35.000000,0.000000
1767801540,33.500000,33.000000,34.000000,0.000000
1767801600,35.500000,33.000000,38.000000,0.000000
1767801660,35.500000,33.000000,38.000000,0.000000
1767801720,34.000000,33.000000,35.000000,0.000000
1767801780,34.000000,33.000000,35.000000,0.000000
1767801840,34.500000,33.000000,36.000000,0.000000
1767801900,34.000000,33.000000,34.000000,10.000000
1767801960,33.500000,33.000000,34.000000,0.000000
1767802020,33.500000,33.000000,34.000000,0.000000
1767802080,33.500000,33.000000,34.000000,0.000000
1767802140,33.500000,33.000000,34.000000,0.000000
1767802200,33.500000,33.000000,34.000000,0.000000
1767802320,33.500000,33.000000,34.000000,0.000000
1767802620,33.500000,33.000000,34.000000,0.000000
1767802740,33.500000,33.000000,34.000000,0.000000
1767802980,33.500000,33.000000,34.000000,0.000000
1767803040,33.500000,33.000000,34.000000,0.000000
1767803280,33.500000,33.000000,34.000000,0.000000
1767803340,33.500000,33.000000,34.000000,0.000000
1767803400,33.500000,33.000000,34.000000,0.000000
1767803460,33.500000,33.000000,34.000000,0.000000
1767803520,33.500000,33.000000,34.000000,0.000000
1767803580,33.500000,33.000000,34.000000,0.000000
1767803880,33.500000,33.000000,34.000000,0.000000
1767804120,33.500000,33.000000,34.000000,0.000000
1767804300,33.500000,33.000000,34.000000,0.000000
1767804600,34.000000,33.000000,34.000000,28.000000
1767804720,33.500000,33.000000,34.000000,0.000000
1767804900,34.000000,33.000000,34.000000,35.000000
1767804960,33.500000,33.000000,34.000000,0.000000
1767805020,33.500000,33.000000,34.000000,0.000000
1767805080,33.500000,33.000000,34.000000,0.000000
1767805260,33.000000,32.000000,34.000000,7.000000
1767805320,32.000000,32.000000,34.000000,13.000000
1767805620,33.000000,32.000000,34.000000,0.000000
1767805680,33.000000,32.000000,34.000000,0.000000
1767805800,33.000000,32.000000,34.000000,0.000000
1767805920,32.500000,31.000000,34.000000,0.000000
1767805980,33.000000,32.000000,34.000000,0.000000
1767806160,33.000000,32.000000,34.000000,0.000000
1767806220,33.500000,33.000000,34.000000,0.000000
1767806280,33.500000,33.000000,34.000000,0.000000
1767806340,33.500000,33.000000,34.000000,0.000000
1767806400,32.000000,31.000000,33.000000,0.000000
1767806460,29.500000,28.000000,31.000000,0.000000
1767806520,29.000000,28.000000,30.000000,0.000000
1767806580,29.000000,28.000000,30.000000,0.000000
1767806640,29.000000,28.000000,30.000000,0.000000
1767806700,29.000000,28.000000,30.000000,0.000000
1767806760,29.000000,28.000000,30.000000,0.000000
1767806820,29.000000,28.000000,30.000000,0.000000
1767806880,29.500000,28.000000,31.000000,0.000000
1767806940,28.500000,28.000000,29.000000,0.000000
1767807000,29.000000,28.000000,30.000000,0.000000
1767807060,29.000000,28.000000,30.000000,0.000000
1767807180,28.000000,26.000000,30.000000,0.000000
1767807240,28.000000,26.000000,30.000000,0.000000
1767807300,28.000000,26.000000,30.000000,0.000000
1767807360,28.000000,26.000000,30.000000,0.000000
1767807420,28.500000,27.000000,30.000000,0.000000
1767807480,28.000000,26.000000,30.000000,0.000000
1767807540,28.000000,26.000000,30.000000,0.000000
1767807780,28.000000,26.000000,30.000000,0.000000
1767807840,28.000000,26.000000,30.000000,0.000000
1767807900,28.500000,27.000000,30.000000,0.000000
1767807960,28.500000,27.000000,30.000000,0.000000
1767808020,28.500000,27.000000,30.000000,0.000000
1767808080,28.500000,27.000000,30.000000,0.000000
1767808140,28.500000,27.000000,30.000000,0.000000
1767808200,28.500000,27.000000,30.000000,0.000000
1767808260,28.500000,27.000000,30.000000,0.000000
1767808320,28.500000,27.000000,30.000000,0.000000
1767808380,27.500000,27.000000,28.000000,0.000000
1767808440,25.000000,24.000000,26.000000,0.000000
1767808500,25.000000,24.000000,26.000000,0.000000
1767808740,25.000000,24.000000,26.000000,0.000000
1767808800,25.000000,24.000000,26.000000,0.000000
1767808920,25.000000,24.000000,26.000000,0.000000
1767809040,25.500000,25.000000,26.000000,0.000000
1767809100,25.500000,25.000000,26.000000,0.000000
1767809220,25.000000,24.000000,26.000000,0.000000
1767809340,25.000000,24.000000,26.000000,0.000000
1767809400,25.000000,24.000000,26.000000,0.000000
1767809520,25.500000,25.000000,26.000000,0.000000
1767809580,25.500000,25.000000,26.000000,0.000000
1767809640,25.500000,25.000000,26.000000,0.000000
1767809700,25.000000,24.000000,26.000000,0.000000
1767809760,25.000000,24.000000,26.000000,0.000000
1767809880,25.500000,25.000000,26.000000,0.000000
1767809940,25.500000,25.000000,26.000000,0.000000
