run_id,status,error,duration_ms,spike_threshold,position_size,stop_loss_points,max_hold_ticks,total_pnl,total_return,final_equity,trade_count,win_rate,avg_trade_pnl,max_drawdown,sharpe,fill_attempts,fill_rejections,partial_fill_count,requested_contracts,filled_contracts
run-0001,ok,,1270,2.000000,1,1.500000,50,-1206.600000,-0.120660,8793.400000,693,0.069264,-1.741126,0.120660,-0.004318,10152,8766,0,5714,1386
run-0002,ok,,1109,2.000000,1,1.500000,100,-1112.200000,-0.111220,8887.800000,691,0.076700,-1.609551,0.111590,-0.003530,10004,8622,0,5578,1382
run-0003,ok,,1264,2.000000,1,1.500000,150,-1070.600000,-0.107060,8929.400000,688,0.078488,-1.556105,0.107430,-0.003251,10087,8711,0,5675,1376
run-0004,ok,,964,2.000000,1,3.000000,50,-900.600000,-0.090060,9099.400000,518,0.189189,-1.738610,0.090630,-0.002036,13150,12114,0,9489,1036
run-0005,ok,,866,2.000000,1,3.000000,100,-835.200000,-0.083520,9164.800000,501,0.207585,-1.667066,0.086340,-0.001633,12118,11116,0,8549,1002
run-0006,ok,,958,2.000000,1,3.000000,150,-833.000000,-0.083300,9167.000000,495,0.212121,-1.682828,0.086120,-0.001497,12328,11338,0,8810,990
run-0007,ok,,1202,2.000000,1,4.500000,50,-757.800000,-0.075780,9242.200000,499,0.212425,-1.518637,0.080568,-0.001540,13030,12032,0,9539,998
run-0008,ok,,1245,2.000000,1,4.500000,100,-668.800000,-0.066880,9331.200000,479,0.235908,-1.396242,0.072015,-0.001171,11650,10692,0,8256,958
run-0009,ok,,1084,2.000000,1,4.500000,150,-658.200000,-0.065820,9341.800000,471,0.244161,-1.397452,0.072678,-0.001052,11724,10782,0,8413,942
run-0010,ok,,1280,2.000000,2,1.500000,50,-2126.200000,-0.212620,7873.800000,677,0.096012,-3.140620,0.212620,-0.003536,11360,9873,96,10919,2532
run-0011,ok,,975,2.000000,2,1.500000,100,-1924.000000,-0.192400,8076.000000,674,0.103858,-2.854599,0.192400,-0.002726,11325,9839,95,10645,2520
run-0012,ok,,1256,2.000000,2,1.500000,150,-1808.400000,-0.180840,8191.600000,670,0.105970,-2.699104,0.180840,-0.002389,11348,9869,95,10682,2504
run-0013,ok,,1353,2.000000,2,3.000000,50,-1826.000000,-0.182600,8174.000000,480,0.235417,-3.790000,0.182620,-0.001882,15257,14084,80,17540,1805
run-0014,ok,,1356,2.000000,2,3.000000,100,-1594.800000,-0.159480,8405.200000,459,0.259259,-3.459695,0.163740,-0.001311,14548,13414,74,15883,1723
run-0015,ok,,914,2.000000,2,3.000000,150,-1550.000000,-0.155000,8450.000000,452,0.267699,-3.414159,0.158520,-0.001108,14606,13485,74,16205,1695
run-0016,ok,,1243,2.000000,2,4.500000,50,-1428.400000,-0.142840,8571.600000,459,0.267974,-3.097168,0.144843,-0.001256,15008,13860,80,17020,1719
run-0017,ok,,1235,2.000000,2,4.500000,100,-1143.400000,-0.114340,8856.600000,433,0.304850,-2.624942,0.117364,-0.000738,13992,12893,75,14869,1619
