"market","rows","total_return","max_drawdown","trade_count","win_rate","avg_trade_pnl"
"KXHIGHCHI","10504","-0.126380","0.129990","63","0.349206","-20.060317"
"KXHIGHNY","10405","-0.146880","0.148410","69","0.289855","-21.295652"
"KXHIGHTATL","9790","-0.169500","0.174658","55","0.254545","-30.818182"
