timestamp,action,qty,price,pnl
1772043120,entry,3,32.000000,-0.300000
1772043660,exit,-1,34.500000,2.400000
1772043960,exit,-1,32.500000,0.400000
1772044680,exit,-1,34.500000,2.400000
1772048160,entry,-3,37.000000,-0.300000
1772048280,exit,1,37.000000,-0.100000
1772048640,stop_loss,2,40.500000,-7.200000
1772049780,entry,-3,38.000000,-0.300000
1772049840,exit,1,37.500000,0.400000
1772051160,stop_loss,2,42.500000,-9.200000
1772066340,entry,-3,39.500000,-0.300000
1772066460,exit,1,39.500000,-0.100000
1772067660,stop_loss,2,45.500000,-12.200000
1772067900,entry,-3,46.000000,-0.300000
1772068380,exit,1,46.000000,-0.100000
1772068620,exit,1,45.500000,0.400000
1772068680,exit,1,44.500000,1.400000
1772072940,entry,-3,48.000000,-0.300000
1772074320,exit,1,46.500000,1.400000
1772074500,exit,1,46.500000,1.400000
1772074560,exit,1,45.500000,2.400000
1772074860,entry,3,46.500000,-0.300000
1772075340,stop_loss,-3,41.500000,-15.300000
1772075460,entry,3,40.500000,-0.300000
1772075520,stop_loss,-3,37.000000,-10.800000
1772075760,entry,3,39.500000,-0.300000
1772075940,exit,-1,39.500000,-0.100000
1772076060,exit,-1,41.500000,1.900000
1772076180,exit,-1,40.500000,0.900000
1772078160,entry,3,15.500000,-0.300000
1772078340,stop_loss,-3,10.500000,-15.300000
1772078460,entry,3,10.500000,-0.300000
1772078580,stop_loss,-3,6.500000,-12.300000
1772081880,entry,-3,20.500000,-0.300000
1772082000,stop_loss,3,25.500000,-15.300000
1772082300,entry,-3,26.500000,-0.300000
1772082360,stop_loss,3,30.500000,-12.300000
1772085840,entry,-3,33.000000,-0.300000
1772086140,stop_loss,3,37.500000,-13.800000
1772086560,entry,-3,43.500000,-0.300000
1772086620,exit,1,43.500000,-0.100000
1772086680,exit,1,43.000000,0.400000
1772086740,exit,1,40.500000,2.900000
1772087040,entry,-3,45.500000,-0.300000
1772087160,exit,1,44.500000,0.900000
1772087280,stop_loss,2,49.500000,-8.200000
1772100300,entry,3,44.500000,-0.300000
1772100720,stop_loss,-3,39.500000,-15.300000
1772101020,entry,3,40.000000,-0.300000
1772101320,stop_loss,-3,35.000000,-15.300000
1772101740,entry,3,42.500000,-0.300000
1772102100,stop_loss,-3,36.500000,-18.300000
1772104440,entry,3,34.500000,-0.300000
1772104500,stop_loss,-3,29.500000,-15.300000
1772105820,entry,3,15.500000,-0.300000
1772105940,exit,-1,18.500000,2.900000
1772106060,exit,-1,16.500000,0.900000
1772106360,stop_loss,-1,11.500000,-4.100000
1772111100,entry,-3,15.000000,-0.300000
1772111160,exit,1,14.500000,0.400000
1772111220,stop_loss,2,18.500000,-7.200000
1772113560,entry,3,8.500000,-0.300000
1772113620,stop_loss,-3,4.500000,-12.300000
1772113980,entry,3,8.500000,-0.300000
1772114040,stop_loss,-3,4.500000,-12.300000
1772115360,entry,-3,18.500000,-0.300000
1772115540,exit,1,16.500000,1.900000
1772115600,exit,1,15.500000,2.900000
1772115660,exit,1,15.500000,2.900000
1772118060,entry,-3,11.000000,-0.300000
1772118120,stop_loss,3,26.000000,-45.300000
1772118300,entry,-3,12.000000,-0.300000
1772118360,exit,1,10.500000,1.400000
1772118360,stop_loss,2,44.500000,-65.200000
1772142120,entry,3,11.000000,-0.300000
1772143260,stop_loss,-3,0.500000,-31.800000
1772146440,entry,-3,10.500000,-0.300000
1772146920,exit,1,1.500000,8.900000
1772147280,exit,1,1.000000,9.400000
1772147340,exit,1,1.000000,9.400000
1772160360,entry,-3,12.000000,-0.300000
1772162520,exit,1,12.000000,-0.100000
1772164500,exit,1,11.500000,0.400000
1772164860,stop_loss,1,15.500000,-3.600000
1772164980,entry,-3,11.500000,-0.300000
1772165160,stop_loss,3,17.500000,-18.300000
1772165520,entry,3,11.500000,-0.300000
1772165640,exit,-1,13.500000,1.900000
1772166060,exit,-1,12.500000,0.900000
1772167680,exit,-1,12.500000,0.900000
1772169540,entry,-3,11.500000,-0.300000
1772170020,stop_loss,3,16.500000,-15.300000
1772170620,entry,-3,15.500000,-0.300000
1772170680,exit,1,15.500000,-0.100000
1772170740,exit,1,15.000000,0.400000
1772170800,exit,1,13.500000,1.900000
1772175240,entry,-3,15.000000,-0.300000
1772175300,stop_loss,3,18.500000,-10.800000
1772176020,entry,-3,16.000000,-0.300000
1772176080,exit,1,16.000000,-0.100000
1772176380,stop_loss,2,30.500000,-29.200000
1772179380,entry,-3,26.000000,-0.300000
1772179500,exit,1,23.500000,2.400000
1772179620,stop_loss,2,30.500000,-9.200000
1772179740,entry,-3,26.500000,-0.300000
1772180820,stop_loss,3,30.000000,-10.800000
1772183580,entry,3,28.500000,-0.300000
1772183760,stop_loss,-3,25.000000,-10.800000
1772186040,entry,-3,28.000000,-0.300000
1772186220,exit,1,26.500000,1.400000
1772186280,exit,1,26.000000,1.900000
1772186340,exit,1,26.000000,1.900000
1772193180,entry,-3,32.000000,-0.300000
1772193360,exit,1,31.500000,0.400000
1772193420,exit,1,29.500000,2.400000
1772193480,exit,1,29.500000,2.400000
1772197080,entry,-3,31.500000,-0.300000
1772197140,exit,1,29.500000,1.900000
1772197200,exit,1,30.500000,0.900000
1772197260,stop_loss,1,36.500000,-5.100000
1772197440,entry,-3,35.500000,-0.300000
1772197680,exit,1,34.500000,0.900000
1772197740,exit,1,35.000000,0.400000
1772197800,exit,1,34.500000,0.900000
1772197920,entry,-3,36.000000,-0.300000
1772198100,exit,1,36.000000,-0.100000
1772198460,exit,1,35.500000,0.400000
1772199240,stop_loss,1,41.500000,-5.600000
1772199900,entry,-3,42.000000,-0.300000
1772200260,stop_loss,3,51.500000,-28.800000
1772200620,entry,-3,57.000000,-0.300000
1772200680,exit,1,56.500000,0.400000
1772200740,exit,1,56.500000,0.400000
1772200800,stop_loss,1,64.500000,-7.600000
1772200980,entry,-3,63.000000,-0.300000
1772201100,stop_loss,3,72.500000,-28.800000
1772204580,entry,3,56.500000,-0.300000
1772204640,stop_loss,-3,31.500000,-75.300000
1772204700,entry,3,57.500000,-0.300000
1772204760,stop_loss,-3,29.500000,-84.300000
1772204880,entry,3,35.500000,-0.300000
1772204880,exit,-1,48.500000,12.900000
1772204940,exit,-1,50.500000,14.900000
1772205000,stop_loss,-1,31.500000,-4.100000
1772210940,entry,-3,30.000000,-0.300000
1772211000,stop_loss,3,53.500000,-70.800000
1772216280,entry,-3,60.500000,-0.300000
1772216280,exit,1,45.000000,15.400000
1772216340,exit,1,50.500000,9.900000
1772216340,exit,1,41.500000,18.900000
1772217060,entry,3,46.500000,-0.300000
1772217120,stop_loss,-3,35.500000,-33.300000
1772217480,entry,3,45.000000,-0.300000
1772217540,stop_loss,-3,18.500000,-79.800000
1772222100,entry,3,53.500000,-0.300000
1772222100,stop_loss,-3,3.500000,-150.300000
1772222220,entry,3,54.000000,-0.300000
1772222220,stop_loss,-3,2.500000,-154.800000
1772229720,entry,3,61.500000,-0.300000
1772229840,stop_loss,-3,58.000000,-10.800000
1772230320,entry,3,56.500000,-0.300000
1772230380,stop_loss,-3,0.000000,-169.800000
1772233980,entry,3,63.500000,-0.300000
1772234160,stop_loss,-3,0.500000,-189.300000
1772234340,entry,3,62.000000,-0.300000
1772234580,exit,-1,62.500000,0.400000
1772234700,exit,-1,62.500000,0.400000
1772235060,exit,-1,63.500000,1.400000
1772236200,entry,3,1.500000,-0.300000
1772236320,exit,-1,61.500000,59.900000
1772236440,exit,-1,62.500000,60.900000
1772236500,exit,-1,61.500000,59.900000
1772247780,entry,-3,62.500000,-0.300000
1772248020,exit,1,61.500000,0.900000
1772248080,exit,1,61.500000,0.900000
1772248140,exit,1,59.500000,2.900000
1772248440,entry,3,59.500000,-0.300000
1772248500,exit,-1,60.000000,0.400000
1772248560,exit,-1,60.000000,0.400000
1772248620,exit,-1,62.000000,2.400000
1772258460,entry,-3,64.000000,-0.300000
