timestamp,action,qty,price,pnl
1772047020,entry,-4,33.500000,-0.400000
1772053260,stop_loss,4,44.500000,-44.400000
1772061840,entry,1,38.500000,-0.100000
1772061840,exit,-1,36.500000,-2.100000
1772062020,entry,1,39.500000,-0.100000
1772062020,stop_loss,-1,37.500000,-2.100000
1772068620,entry,-4,42.500000,-0.400000
1772068620,stop_loss,4,45.500000,-12.400000
1772073360,entry,-3,47.500000,-0.300000
1772073540,stop_loss,3,50.500000,-9.300000
1772078160,entry,4,15.500000,-0.400000
1772078220,stop_loss,-4,12.500000,-12.400000
1772078460,entry,4,10.500000,-0.400000
1772078580,stop_loss,-3,5.500000,-15.300000
1772078640,stop_loss,-1,5.500000,-5.100000
1772081880,entry,-4,20.500000,-0.400000
1772082120,stop_loss,4,25.500000,-20.400000
1772111580,entry,-1,11.500000,-0.100000
1772111580,stop_loss,1,13.500000,-2.100000
1772115540,entry,-4,14.500000,-0.400000
1772115540,stop_loss,4,16.500000,-8.400000
1772118420,entry,-2,8.500000,-0.200000
1772118540,exit,1,10.500000,-2.100000
1772118600,stop_loss,1,10.500000,-2.100000
1772120700,entry,4,2.500000,-0.400000
1772121120,stop_loss,-4,-0.500000,-12.400000
1772141400,entry,-4,7.500000,-0.400000
1772141640,exit,1,1.500000,5.900000
1772142120,exit,1,1.500000,5.900000
1772143320,stop_loss,1,10.500000,-3.100000
1772143800,stop_loss,1,9.500000,-2.100000
1772145780,entry,4,9.500000,-0.400000
1772146920,stop_loss,-4,-0.500000,-40.400000
1772170620,entry,-3,13.500000,-0.300000
1772170620,stop_loss,3,16.500000,-9.300000
1772197440,entry,-4,34.500000,-0.400000
1772197440,stop_loss,4,36.500000,-8.400000
1772197680,entry,-4,33.500000,-0.400000
1772198040,stop_loss,4,37.500000,-16.400000
1772200680,entry,-4,55.500000,-0.400000
1772200860,stop_loss,2,61.500000,-12.200000
1772201040,stop_loss,2,64.500000,-18.200000
1772201160,entry,-4,64.500000,-0.400000
1772201160,stop_loss,4,67.500000,-12.400000
1772204640,entry,4,53.500000,-0.400000
1772204640,stop_loss,-4,51.500000,-8.400000
1772205300,entry,4,51.500000,-0.400000
1772205300,stop_loss,-4,49.500000,-8.400000
1772205360,entry,3,51.500000,-0.300000
1772205360,stop_loss,-3,49.500000,-6.300000
1772205420,entry,4,50.500000,-0.400000
1772205540,stop_loss,-1,20.500000,-30.100000
1772205600,stop_loss,-2,47.500000,-6.200000
1772205840,stop_loss,-1,46.500000,-4.100000
1772211600,entry,-2,30.500000,-0.200000
1772211600,stop_loss,1,49.500000,-19.100000
1772211660,stop_loss,1,50.500000,-20.100000
1772217060,entry,2,47.500000,-0.200000
1772217060,stop_loss,-2,44.500000,-6.200000
1772217240,entry,2,47.500000,-0.200000
1772217300,stop_loss,-2,26.500000,-42.200000
1772222340,entry,1,4.500000,-0.100000
1772222400,exit,-1,2.500000,-2.100000
1772236200,entry,2,1.500000,-0.200000
1772237760,exit,-1,61.500000,59.900000
1772239080,exit,-1,61.500000,59.900000
1772247780,entry,-4,61.500000,-0.400000
1772247780,stop_loss,4,63.500000,-8.400000
1772282280,entry,4,56.500000,-0.400000
1772282280,exit,-1,54.500000,-2.100000
1772283840,exit,-1,56.500000,-0.100000
1772283900,exit,-2,56.500000,-0.200000
1772290920,entry,2,72.500000,-0.200000
1772291040,stop_loss,-2,71.500000,-2.200000
1772291100,entry,4,73.500000,-0.400000
1772291280,stop_loss,-4,69.500000,-16.400000
1772291700,entry,2,36.500000,-0.200000
1772291700,stop_loss,-2,34.500000,-4.200000
1772295420,entry,1,33.500000,-0.100000
1772295420,stop_loss,-1,31.500000,-2.100000
1772333340,entry,-2,42.500000,-0.200000
1772333520,stop_loss,1,44.500000,-2.100000
1772334060,exit,1,44.500000,-2.100000
1772340780,entry,1,14.500000,-0.100000
1772340780,stop_loss,-1,12.500000,-2.100000
1772341260,entry,4,1.500000,-0.400000
1772351040,max_hold,-4,-0.500000,-8.400000
1772377500,entry,-4,-0.500000,-0.400000
1772377500,stop_loss,4,1.500000,-8.400000
1772420460,entry,-4,38.500000,-0.400000
1772420700,stop_loss,4,40.500000,-8.400000
1772428140,entry,-2,39.500000,-0.200000
1772428140,stop_loss,2,42.500000,-6.200000
1772436300,entry,3,37.500000,-0.300000
1772436300,stop_loss,-3,34.500000,-9.300000
1772439060,entry,-1,35.500000,-0.100000
1772439060,stop_loss,1,38.500000,-3.100000
1772452260,entry,3,38.500000,-0.300000
1772452260,exit,-1,35.500000,-3.100000
1772452800,exit,-1,34.500000,-4.100000
1772452860,stop_loss,-1,34.500000,-4.100000
1772460480,entry,-4,50.500000,-0.400000
1772460480,stop_loss,4,53.500000,-12.400000
1772462460,entry,-4,51.500000,-0.400000
1772462700,stop_loss,4,54.500000,-12.400000
1772463720,entry,4,56.500000,-0.400000
1772463900,stop_loss,-4,53.500000,-12.400000
1772464260,entry,4,54.500000,-0.400000
1772464440,stop_loss,-2,22.500000,-64.200000
1772464500,exit,-1,53.500000,-1.100000
1772464560,stop_loss,-1,22.500000,-32.100000
1772514180,entry,-4,20.500000,-0.400000
1772514180,stop_loss,4,23.500000,-12.400000
1772514900,entry,-2,21.500000,-0.200000
1772515140,stop_loss,2,23.500000,-4.200000
1772519160,entry,4,23.500000,-0.400000
1772519160,exit,-1,21.500000,-2.100000
1772519700,stop_loss,-3,20.500000,-9.300000
1772519820,entry,3,22.500000,-0.300000
1772519820,exit,-1,20.500000,-2.100000
1772520180,exit,-1,21.500000,-1.100000
1772520240,exit,-1,22.500000,-0.100000
1772521200,entry,-1,25.500000,-0.100000
1772521260,stop_loss,1,27.500000,-2.100000
1772538000,entry,-2,41.500000,-0.200000
1772538240,exit,1,40.500000,0.900000
1772538480,exit,1,39.500000,1.900000
1772540700,entry,-4,37.500000,-0.400000
1772540700,stop_loss,4,40.500000,-12.400000
1772541240,entry,-4,43.500000,-0.400000
1772541540,stop_loss,4,47.500000,-16.400000
1772541660,entry,-4,44.500000,-0.400000
1772541660,stop_loss,4,46.500000,-8.400000
1772541780,entry,-4,43.500000,-0.400000
1772541840,stop_loss,4,45.500000,-8.400000
1772546460,entry,-4,50.500000,-0.400000
1772546460,exit,1,53.500000,-3.100000
1772547120,exit,1,45.500000,4.900000
1772547480,exit,2,47.500000,5.800000
1772550060,entry,4,49.500000,-0.400000
1772550060,exit,-1,47.500000,-2.100000
1772550180,exit,-1,48.500000,-1.100000
1772550240,exit,-2,49.500000,-0.200000
1772550300,entry,4,51.500000,-0.400000
1772550300,exit,-1,49.500000,-2.100000
1772550360,stop_loss,-3,49.500000,-6.300000
1772550420,entry,4,51.500000,-0.400000
1772550420,stop_loss,-4,49.500000,-8.400000
1772550660,entry,4,50.500000,-0.400000
1772550660,stop_loss,-4,47.500000,-12.400000
1772593860,entry,-1,20.500000,-0.100000
1772594400,stop_loss,1,23.500000,-3.100000
