timestamp,action,qty,price,pnl
1772136240,entry,-3,28.500000,-0.300000
1772136240,exit,1,19.500000,8.900000
1772136360,exit,1,27.500000,0.900000
1772136360,exit,1,19.000000,9.400000
1772138460,entry,-3,18.500000,-0.300000
1772138460,stop_loss,3,65.500000,-141.300000
1772138700,entry,-3,18.000000,-0.300000
1772138760,stop_loss,3,52.500000,-103.800000
1772210280,entry,-3,22.000000,-0.300000
1772210340,stop_loss,3,31.500000,-28.800000
1772291160,entry,-3,28.000000,-0.300000
1772291220,stop_loss,3,32.500000,-13.800000
1772348100,entry,3,18.500000,-0.300000
1772348160,exit,-1,18.500000,-0.100000
1772352120,exit,-1,19.000000,0.400000
1772354100,max_hold,-1,17.000000,-1.600000
1772373960,entry,-3,31.500000,-0.300000
1772374260,exit,1,31.500000,-0.100000
1772374320,exit,1,30.500000,0.900000
1772374380,exit,1,29.500000,1.900000
1772503560,entry,-3,31.000000,-0.300000
1772504400,exit,1,31.000000,-0.100000
1772504460,exit,1,30.500000,0.400000
1772504820,stop_loss,1,34.500000,-3.600000
1772550240,entry,-3,51.500000,-0.300000
1772550240,exit,1,43.500000,7.900000
1772550300,exit,1,50.500000,0.900000
1772550300,exit,1,44.000000,7.400000
1772555400,entry,3,38.500000,-0.300000
1772555460,stop_loss,-3,33.500000,-15.300000
1772558940,entry,3,47.000000,-0.300000
1772558940,stop_loss,-3,43.500000,-10.800000
1772559120,entry,-3,45.500000,-0.300000
1772559240,exit,1,45.500000,-0.100000
1772559240,stop_loss,2,49.500000,-8.200000
1772565900,entry,3,48.000000,-0.300000
1772565960,stop_loss,-3,0.500000,-142.800000
1772589900,entry,-3,40.500000,-0.300000
1772589960,exit,1,32.500000,7.900000
1772590020,exit,1,28.500000,11.900000
1772590080,exit,1,28.500000,11.900000
