timestamp,price,rolling_mean,rolling_std,spike_flag,confirmation_status,action_taken,position,cash,equity,realized_pnl,unrealized_pnl
1772463660,50.000000,50.000000,0.000000,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772463720,25.500000,37.750000,12.250000,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772463780,26.000000,33.833333,11.433382,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772463840,25.500000,31.750000,10.538619,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772463900,25.500000,30.500000,9.751923,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772463960,26.000000,29.750000,9.058835,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772464020,26.000000,29.214286,8.488888,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772464080,24.500000,28.625000,8.092242,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772464140,24.000000,28.111111,7.766659,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772464200,24.000000,27.700000,7.470609,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772464260,23.500000,27.318182,7.224556,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772464320,23.000000,26.958333,7.019195,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772464380,23.500000,26.692308,6.806497,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772464440,24.000000,26.500000,6.595453,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772464500,26.000000,26.466667,6.373033,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772464560,35.000000,27.000000,6.507208,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772464620,35.000000,27.470588,6.587579,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772464740,35.000000,27.888889,6.630224,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772464800,35.000000,28.263158,6.645870,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772464860,35.000000,28.600000,6.641912,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772464920,35.000000,28.904762,6.623585,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772464980,35.000000,29.181818,6.594670,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772465040,35.000000,29.434783,6.557943,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772465100,35.000000,29.666667,6.515473,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
1772465160,35.000000,29.880000,6.468818,none,na,none,0,10000.000000,10000.000000,0.000000,0.000000
